Frequency;|Z|;|Z|;|Z|;|Z|;Z';Z';Z';Z';Z'';Z'';Z'';Z''
Hz;0 h;1 h;2 h;3 h;0 h;1 h;2 h;3 h;0 h;1 h;2 h;3 h
96172.29945;31.4293;27.61318;28.92348;31.71142;31.38546;27.57974;28.88863;31.67488;-1.65936;-1.35861;-1.41941;-1.52181
79122.49981;31.52618;27.60582;29.07735;31.73517;31.5027;27.5869;29.06264;31.72029;-1.21662;-1.02209;-0.92505;-0.97187
65096.85393;31.53005;27.65488;29.17468;31.79873;31.52321;27.6458;29.17021;31.79404;-0.65677;-0.70867;-0.51049;-0.54626
53557.46344;31.58206;27.61159;29.25654;31.81113;31.58095;27.60912;29.25647;31.81107;-0.2657;-0.36926;-0.06737;-0.06418
44061.57326;31.67368;27.61348;29.28108;31.83131;31.67357;27.61333;29.27942;31.82934;0.0834;-0.09113;0.31163;0.35411
36251.00073;31.78333;27.65654;29.3074;32.04755;31.78;27.65604;29.30099;32.03715;0.4601;0.16642;0.61297;0.81629
29824.96894;31.86097;27.70054;29.43661;32.07698;31.84779;27.69794;29.41452;32.05177;0.9163;0.37895;1.14028;1.27148
24538.04734;32.00103;27.85963;29.60679;32.2202;31.97535;27.8504;29.56745;32.17705;1.28194;0.71696;1.52585;1.66702
20187.84678;32.14376;27.81524;29.75623;32.44422;32.09822;27.79733;29.69217;32.37277;1.71053;0.99796;1.95147;2.15209
16608.86672;32.40179;27.88611;29.99203;32.74372;32.32701;27.85607;29.89033;32.63043;2.20001;1.29402;2.4678;2.72152
13664.06754;32.65299;28.05035;30.32584;33.08841;32.54605;27.99902;30.17838;32.92743;2.64052;1.69607;2.98696;3.25995
11241.9073;32.98591;28.25217;30.66386;33.48086;32.83453;28.17093;30.45546;33.25423;3.15654;2.14099;3.56889;3.88897
9249.111181;33.59439;28.51393;31.23925;34.13788;33.39196;28.40016;30.9508;33.84268;3.68237;2.54463;4.23535;4.4797
7609.56796;33.99995;28.83658;31.77697;34.60173;33.73648;28.68553;31.4166;34.21674;4.22448;2.94767;4.77211;5.14727
6260.514129;34.44007;29.15769;32.29096;35.34307;34.10016;28.9665;31.83861;34.8459;4.82681;3.33355;5.38596;5.90726
5150.744411;35.01841;29.55454;32.86855;35.97902;34.5979;29.28005;32.2723;35.36505;5.41064;4.01861;6.2322;6.6184
4237.600391;35.72453;29.97784;33.60119;36.78193;35.20487;29.63856;32.86877;36.03275;6.07119;4.49741;6.97738;7.38587
3486.422374;36.3873;30.54886;34.38342;37.66247;35.75366;30.10913;33.49162;36.74526;6.76101;5.1646;7.78013;8.26123
2868.269798;37.12957;31.04973;35.25257;38.61347;36.34821;30.49506;34.122;37.49706;7.57708;5.8427;8.8562;9.21796
2359.826099;37.97488;31.70482;36.3157;39.6456;37.03098;31.01638;34.94108;38.28483;8.41416;6.57114;9.89702;10.29782
1941.511646;38.98272;32.4791;37.46689;40.84682;37.81863;31.61841;35.70474;39.11937;9.45534;7.42755;11.35513;11.75318
1597.312903;40.03405;33.36513;38.88868;42.27966;38.56432;32.28702;36.70341;40.14914;10.74795;8.4131;12.85261;13.25201
1314.104795;41.3323;34.42867;40.71429;43.87841;39.51357;33.07604;37.93749;41.25884;12.12587;9.55559;14.77838;14.93396
1081.209866;42.92135;35.70049;42.86204;45.90068;40.69497;34.00499;39.37258;42.60444;13.6441;10.87132;16.93973;17.08023
889.5082901;44.86532;37.19212;45.55578;48.37557;42.10175;35.11644;41.22036;44.25338;15.50288;12.25111;19.39616;19.54058
