Frequency;|Z|;|Z|;|Z|;|Z|;Z';Z';Z';Z';Z'';Z'';Z'';Z''
Hz;0 h;1 h;2 h;3 h;0 h;1 h;2 h;3 h;0 h;1 h;2 h;3 h
96172.29945;34.81877;31.12521;29.09016;27.22985;34.80411;31.0843;29.04343;27.21889;-1.01052;-1.59542;-1.64818;-0.77256
79122.49981;35.23912;31.49685;29.24524;27.39714;35.23284;31.48246;29.23999;27.39123;-0.66552;-0.95203;-0.55423;-0.56885
65096.85393;35.55648;31.69641;29.25256;27.27281;35.55618;31.68281;29.24396;27.26657;-0.14437;-0.92833;-0.70918;-0.58365
53557.46344;35.77384;31.49198;28.75751;27.16051;35.77382;31.49117;28.7575;27.15993;0.04149;-0.22602;-0.02955;0.17736
44061.57326;35.60739;31.66716;28.59198;27.32482;35.60462;31.6649;28.58757;27.3166;0.44454;0.37816;0.50257;0.67005
36251.00073;35.75157;31.81667;28.58988;27.52336;35.74164;31.81667;28.5887;27.51795;0.84253;-0.01004;0.25979;0.54593
29824.96894;35.98836;31.54055;29.3084;27.42352;35.95679;31.53743;29.29588;27.4049;1.5071;0.44401;0.85651;1.01054
24538.04734;36.42372;31.835;29.11247;27.09427;36.36999;31.81477;29.09676;27.0647;1.97768;1.1348;0.95655;1.26558
20187.84678;36.43392;31.91394;29.23548;27.64012;36.36151;31.88002;29.19996;27.57486;2.29592;1.47098;1.4408;1.8982
16608.86672;36.58419;32.24757;29.51321;27.96354;36.43162;32.20829;29.42331;27.8592;3.33769;1.59124;2.30179;2.41342
13664.06754;36.95521;32.56694;30.1466;28.0457;36.77977;32.50578;30.06984;27.91118;3.59674;1.99492;2.14992;2.74357
11241.9073;37.45455;33.13869;30.05253;28.57856;37.19211;33.02411;29.9469;28.39792;4.42609;2.75342;2.51747;3.20819
9249.111181;37.90295;32.57709;31.01266;28.99822;37.57863;32.46335;30.84858;28.70045;4.94775;2.71986;3.18598;4.145
7609.56796;38.7409;33.45005;30.67026;28.41542;38.41692;33.21689;30.45066;27.95119;4.99972;3.94256;3.66362;5.11538
6260.514129;39.30809;33.80045;31.73;29.8897;38.77446;33.51349;31.47678;29.48223;6.45504;4.395;4.00066;4.91857
5150.744411;40.15894;34.32211;31.70201;30.22502;39.5052;34.04593;31.33354;29.69654;7.21662;4.3453;4.8194;5.62735
4237.600391;41.03684;35.08427;31.98291;31.41221;40.26114;34.70485;31.48707;30.78958;7.9412;5.14581;5.60988;6.22327
3486.422374;42.00489;35.70116;33.23245;31.7186;41.11903;35.15994;32.62547;30.99406;8.58115;6.19285;6.32252;6.74073
2868.269798;42.86562;35.82651;33.45664;32.46284;41.82476;35.25863;32.90885;31.50638;9.3889;6.35358;6.02943;7.822
2359.826099;44.01927;37.48673;34.05304;33.8342;42.69081;36.65309;33.2888;32.67254;10.7327;7.86169;7.17395;8.78967
1941.511646;45.47436;38.35883;34.80645;34.65593;43.94673;37.45367;33.7799;33.23583;11.68767;8.2839;8.39091;9.81903
1597.312903;46.82307;38.45486;36.31781;35.99698;44.92532;37.30512;34.99403;34.21953;13.19529;9.33298;9.71602;11.1717
1314.104795;48.28122;39.74632;37.10987;37.52912;45.67336;38.26996;35.44056;35.2632;15.65313;10.7322;11.00497;12.84294
1081.209866;50.31247;41.1566;38.85151;39.1962;47.302;39.36555;36.73573;36.37394;17.1425;12.00912;12.64617;14.60406
889.5082901;52.86638;42.37611;40.30093;41.32553;49.09344;40.17751;37.67078;38.06558;19.61346;13.47228;14.32051;16.08761
731.8127977;55.43939;44.77976;42.82394;44.15883;50.84835;42.0131;39.5108;40.3127;22.09008;15.49602;16.51625;18.02467
602.0880395;58.89713;46.91764;45.66081;47.14023;53.30372;43.48193;41.77304;42.74772;25.05166;17.62348;18.43699;19.87044
495.347528;62.79377;49.53108;48.94963;51.09076;56.14724;45.47407;44.24541;46.1049;28.11663;19.63256;20.93823;22.01372
407.5397737;67.37287;52.74975;52.56647;54.85773;59.96484;48.20029;47.1606;49.19505;30.71356;21.43053;23.21879;24.2738
335.2895361;72.73814;56.56282;56.63708;58.83783;64.11481;51.21553;50.69007;53.14735;34.35299;24.00671;25.26412;25.2438
275.8481019;78.13127;60.7929;61.12496;63.02408;68.28336;55.01834;55.17278;57.30626;37.97207;25.86038;26.31018;26.23026
226.9499022;83.84345;65.86133;66.18366;67.0424;73.70666;59.43136;59.85687;61.63144;39.96315;28.38358;28.23886;26.38652
186.7196394;90.13178;70.46325;70.69409;70.84763;79.30762;63.94553;64.87637;66.03208;42.82567;29.59796;28.08401;25.67392
153.6207921;96.36872;74.51628;74.97811;74.51685;85.42373;68.00114;69.38739;70.04145;44.60625;30.47164;28.40962;25.43533
126.3804799;102.82128;79.19175;78.5666;78.06962;91.17198;72.87377;73.68084;74.0045;47.53825;30.9959;27.27351;24.86361
103.9800447;109.27799;83.79493;82.94843;80.55452;97.35126;77.8468;78.66585;77.09013;49.64283;31.00752;26.30828;23.36967
85.54605763;117.58807;87.97475;85.78368;83.05644;105.46988;82.35704;82.11065;80.05321;51.99094;30.93339;24.83309;22.13268
70.3817401;125.19391;91.80502;89.08644;86.0224;113.37309;86.81066;85.91924;83.43598;53.1042;29.86755;23.54314;20.93539
57.90419123;135.08048;96.91346;91.60711;87.1294;123.36494;91.92887;89.02703;85.33721;55.02569;30.68064;21.58821;17.58104
47.63871079;140.87196;99.35262;93.83418;90.03824;129.58762;95.47275;91.94618;88.19396;55.24453;27.4936;18.72839;18.13035
39.19403716;148.85742;103.00024;94.15;91.09434;138.55789;99.64655;92.67124;89.65666;54.4081;26.06939;16.62114;16.12028
32.24630816;155.8228;106.92556;96.21315;94.00238;146.71303;103.94297;95.032;92.94914;52.49791;25.07858;15.02964;14.03221
26.52894626;161.81653;109.13742;98.09947;94.46693;154.20413;106.60244;97.15677;93.43378;49.0477;23.38577;13.5672;13.93309
21.82579139;168.57882;111.90259;98.14466;95.16441;161.59706;109.26038;97.41487;94.5039;48.0126;24.17352;11.94639;11.19276
17.9568436;175.77619;114.58991;99.4154;96.84802;169.54481;112.82204;98.93212;96.14039;46.38781;20.05082;9.79063;11.68612
14.77406482;179.45606;117.60324;100.41155;98.51179;175.02928;116.04033;99.99278;98.06262;39.61349;19.10927;9.16096;9.39646
12.15486109;184.71801;118.52113;102.53338;97.3739;180.58441;117.61177;102.09309;97.04907;38.85894;14.65366;9.49179;7.94698
10;185.84573;119.7134;101.23059;97.93407;182.37099;118.77618;101.04994;97.50593;35.76951;14.95051;6.04497;9.1475
