Frequency;|Z|;|Z|;|Z|;|Z|;Z';Z';Z';Z';Z'';Z'';Z'';Z''
Hz;0 h;1 h;2 h;3 h;0 h;1 h;2 h;3 h;0 h;1 h;2 h;3 h
96172.29945;30.9083;31.96862;26.82559;28.57838;30.85969;31.92286;26.77253;28.54988;-1.73264;-1.70987;-1.68641;-1.27591
79122.49981;30.90415;31.91905;26.90461;28.6188;30.87092;31.89361;26.87686;28.59157;-1.43268;-1.27433;-1.2216;-1.2481
65096.85393;31.02749;31.94831;26.80044;28.61478;31.01011;31.93461;26.78203;28.60516;-1.03852;-0.93533;-0.99316;-0.74215
53557.46344;31.00356;31.9829;26.81068;28.57603;30.9965;31.97811;26.80236;28.57331;-0.66172;-0.55389;-0.66791;-0.3942
44061.57326;30.9898;31.99338;26.74995;28.64692;30.98794;31.99243;26.74708;28.64665;-0.33975;-0.24696;-0.39174;-0.12543
36251.00073;31.02658;32.01997;27.00856;28.70602;31.0265;32.01995;27.00808;28.70564;-0.06807;0.03226;-0.16158;0.14666
29824.96894;31.07825;32.09316;27.04018;28.71896;31.07743;32.09097;27.04006;28.71709;0.22583;0.37508;0.08094;0.32767
24538.04734;31.12645;32.12885;27.06809;28.76238;31.12208;32.12092;27.0667;28.75605;0.52166;0.71405;0.27434;0.60316
20187.84678;31.17801;32.19118;27.16066;28.82105;31.16574;32.17531;27.15482;28.80828;0.87454;1.01091;0.56332;0.85784
16608.86672;31.32495;32.27153;27.18198;28.92921;31.30396;32.24321;27.17162;28.90677;1.1465;1.35164;0.75052;1.13918
13664.06754;31.41263;32.43552;27.27531;29.08536;31.37584;32.38664;27.2554;29.04862;1.51988;1.78011;1.0421;1.4615
11241.9073;31.56867;32.6275;27.36833;29.22787;31.51181;32.5539;27.33661;29.17641;1.89384;2.19033;1.31747;1.73366
9249.111181;31.8056;32.9474;27.45209;29.42712;31.72723;32.84297;27.39926;29.35457;2.23137;2.62117;1.70237;2.06516
7609.56796;32.03066;33.23939;27.71282;29.74445;31.91066;33.0785;27.63769;29.63642;2.77005;3.26651;2.03919;2.53277
6260.514129;32.45871;33.502;27.87728;29.98824;32.28899;33.28659;27.782;29.85153;3.31496;3.793;2.30282;2.86014
5150.744411;32.80108;33.96817;28.19152;30.3222;32.57449;33.67778;28.06371;30.13859;3.84878;4.4321;2.68147;3.3319
4237.600391;33.23573;34.5605;28.53792;30.7763;32.94569;34.17417;28.36081;30.53629;4.38128;5.1531;3.17449;3.83605
3486.422374;33.76774;35.23259;28.82423;31.24143;33.4126;34.74527;28.5901;30.94544;4.88455;5.83965;3.66637;4.29027
2868.269798;34.28529;35.97833;29.35574;31.82037;33.84567;35.36446;29.06272;31.442;5.47285;6.61783;4.13735;4.89254
2359.826099;34.92083;36.85492;30.13229;32.40099;34.37389;36.11285;29.83991;31.95884;6.15627;7.35849;4.18746;5.33446
1941.511646;35.47381;37.93495;30.56008;33.11655;34.78513;37.0316;30.10617;32.57436;6.95603;8.22928;5.24759;5.96802
