Frequency;|Z|;|Z|;|Z|;|Z|;Z';Z';Z';Z';Z'';Z'';Z'';Z''
Hz;0 h;1 h;2 h;3 h;0 h;1 h;2 h;3 h;0 h;1 h;2 h;3 h
96172.29945;37.46184;29.50776;32.0338;28.35085;37.41706;29.44474;31.99206;28.31057;-1.83116;-1.92738;-1.6347;-1.51062
79122.49981;37.67497;29.29358;31.90855;28.38243;37.64732;29.25;31.87802;28.35332;-1.44309;-1.59727;-1.39566;-1.28502
65096.85393;37.71569;29.38641;31.98021;28.38879;37.7042;29.35824;31.96429;28.37511;-0.931;-1.28641;-1.00878;-0.88113
53557.46344;37.72718;29.3304;31.96647;28.39434;37.7267;29.31628;31.9612;28.38841;-0.18954;-0.91002;-0.58061;-0.58033
44061.57326;37.82334;29.33338;32.00307;28.41851;37.82323;29.32812;32.00115;28.41681;0.08927;-0.55575;-0.35051;-0.311
36251.00073;37.81935;29.38876;32.01625;28.48731;37.81607;29.38671;32.01611;28.48705;0.49789;-0.34691;-0.0961;-0.12199
29824.96894;37.94151;29.37192;32.05199;28.4473;37.92974;29.3717;32.0515;28.44673;0.94493;-0.11555;0.17586;0.17972
24538.04734;38.02557;29.34653;32.03575;28.51228;37.99792;29.34632;32.03182;28.50994;1.44987;0.10954;0.50176;0.3654
20187.84678;38.1791;29.42727;32.12643;28.58368;38.13325;29.42504;32.11762;28.57713;1.87054;0.36281;0.75199;0.61193
16608.86672;38.42703;29.46636;32.21517;28.58889;38.35249;29.45963;32.19835;28.57647;2.39224;0.62994;1.04086;0.8426
13664.06754;38.6851;29.50726;32.30389;28.73431;38.57031;29.49314;32.27417;28.71342;2.97794;0.91277;1.38524;1.09538
11241.9073;39.00398;29.59507;32.44449;28.82674;38.83625;29.57066;32.40153;28.79368;3.61335;1.20169;1.6691;1.38024
9249.111181;39.55075;29.81307;32.6437;28.9584;39.31919;29.77106;32.57779;28.90436;4.27351;1.58211;2.07345;1.76839
7609.56796;39.98814;29.99591;32.91016;29.11664;39.66833;29.93969;32.80928;29.04223;5.04732;1.83558;2.57481;2.08024
6260.514129;40.76927;30.0909;33.18509;29.3727;40.35293;30.00639;33.05408;29.27123;5.8116;2.25362;2.9459;2.43946
5150.744411;41.43327;30.42807;33.56564;29.62256;40.92258;30.31781;33.37103;29.49071;6.48524;2.58796;3.6092;2.79173
4237.600391;42.10694;30.63584;33.88948;29.94927;41.46463;30.48906;33.66062;29.75818;7.32656;2.99529;3.93181;3.37776
3486.422374;43.00159;30.97668;34.35256;30.41576;42.21527;30.78535;34.05407;30.17611;8.18579;3.43756;4.51868;3.81056
2868.269798;43.80448;31.24603;34.9146;30.77332;42.87802;30.99802;34.5439;30.47034;8.96148;3.92903;5.07429;4.30765
2359.826099;44.85403;31.62302;35.42618;31.21401;43.69856;31.30726;34.96369;30.83439;10.11533;4.45767;5.70566;4.85331
1941.511646;45.87234;31.95225;35.98472;31.9001;44.44071;31.54438;35.41694;31.39979;11.3708;5.08903;6.36712;5.62756
1597.312903;47.08267;32.38636;36.69137;32.32535;45.27996;31.84396;35.99108;31.74276;12.90361;5.90243;7.13436;6.10949
1314.104795;48.32274;32.81113;37.34058;33.01196;46.05754;32.0999;36.46443;32.2813;14.62156;6.79463;8.04142;6.90705
1081.209866;50.0187;33.36227;38.03569;33.65667;47.11281;32.39725;36.94626;32.74594;16.8004;7.96616;9.03812;7.77657
889.5082901;52.24405;34.10493;38.78692;34.43521;48.47341;32.77024;37.37924;33.27568;19.48766;9.44763;10.35457;8.86077
731.8127977;54.96029;35.04245;39.77461;35.38415;50.08996;33.21174;37.93337;33.88513;22.61924;11.17826;11.96156;10.19001
602.0880395;58.5079;36.44708;40.99811;36.40001;52.28862;33.92454;38.54775;34.45788;26.25024;13.32348;13.96125;11.73095
495.347528;62.9064;38.38364;42.77032;38.00302;55.16591;34.92606;39.44295;35.46323;30.2314;15.92087;16.53947;13.65976
407.5397737;68.224;40.84803;45.16714;39.97853;58.81155;36.26803;40.68764;36.67521;34.57912;18.79339;19.61089;15.91262
335.2895361;74.66156;44.18203;48.4486;42.42412;63.704;38.26871;42.54306;38.18971;38.93776;22.08071;23.18093;18.47571
275.8481019;81.95172;48.27605;52.67959;45.5616;69.57305;40.82232;45.10975;40.27749;43.30906;25.77043;27.20753;21.2975
